brand,status,file,source_asset,source_page
Portwest,source-candidate,Portwest.jpg,https://shop.ralawise.com/4ae0a6/contentassets/3469709a5d5f4fb4b4b3e15d2daca802/brand-banner-2023-portwest.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/portwest/
Premier,source-candidate,Premier.jpg,https://shop.ralawise.com/4ae108/contentassets/7701a6820ab948d7bbad73ab3196bd63/brand-banner-2023-premier.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/premier/
Pro RTX,source-candidate,Pro-RTX.jpg,https://shop.ralawise.com/4ae130/contentassets/2b00e071f48e42a8abe2cfa13897c9ee/brand-banner-2023-prortx.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/prortx/
Pro RTX High Visibility,source-candidate,Pro-RTX-High-Visibility.jpg,https://shop.ralawise.com/4ae14f/contentassets/2a8e1787bdb2410c804531be1762516d/brand-banner-2023-prortx-high-visibility.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/prortxhighvisibility/
Quadra,source-candidate,Quadra.jpg,https://shop.ralawise.com/4ae163/contentassets/601d285282ec4bed9893183c8f91b915/brand-banner-2023-quadra.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/quadra/
RalaFlex,source-candidate,RalaFlex.jpg,https://shop.ralawise.com/4ae503/contentassets/b441c6fd181547cfaf9abc2a5e849607/brand-banner-2023-ralaflex.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/ralaflex/
Regatta High Visibility,source-candidate,Regatta-High-Visibility.jpg,https://shop.ralawise.com/4ae544/contentassets/89b1fce39c3c44f48a624bffa9681e72/brand-banner-2023-regatta-high-visibility.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattahighvisibility/
Regatta Honestly Made,source-candidate,Regatta-Honestly-Made.jpg,https://shop.ralawise.com/4ae084/contentassets/f13792fe82d34115901febfc046e423a/brand-banner-2023-regatta-honestly-made.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattahonestlymade/
Regatta Junior,source-candidate,Regatta-Junior.jpg,https://shop.ralawise.com/4ae0a4/contentassets/42b1c848d4bc4900b2894cbe49c83b74/brand-banner-2023-regatta-junior.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattajunior/
Regatta Professional,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/regattaprofessional/
Regatta Safety Footwear,source-candidate,Regatta-Safety-Footwear.jpg,https://shop.ralawise.com/4ae118/contentassets/2f3a00b01b234d7b91aca00f1bc3dd9b/brand-banner-2023-regatta-safety-footwear.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/regattasafetyfootwear/
Resolute Ink,missing,,,
Result,source-candidate,Result.jpg,https://shop.ralawise.com/4af46e/contentassets/0ef311f7aaef41fb8780efdebe73c490/result-logo-2026.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/result/
Result Core,source-candidate,Result-Core.jpg,https://shop.ralawise.com/4ae1a4/contentassets/2d45b36e7e424ad9aa417b093706392b/brand-banner-2023-result-core.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resultcore/
Result Recycled,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/resultrecycled/
Result Headwear,source-candidate,Result-Headwear.jpg,https://shop.ralawise.com/4ae1da/contentassets/1198f8a780ff452798a5c5c004e42b2c/brand-banner-2023-result-headwear.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resultheadwear/
Result Safeguard,source-candidate,Result-Safeguard.jpg,https://shop.ralawise.com/4ae1ef/contentassets/c50e77001f664a5f81827872aa478952/brand-banner-2023-result-safeguard.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resultsafeguard/
Result Winter Essentials,source-candidate,Result-Winter-Essentials.jpg,https://shop.ralawise.com/4ae25c/contentassets/f93b0fb6597647f5ae8e689519c36ae3/brand-banner-2023-result-winter-essentials.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resultwinteressentials/
Result Urban Outdoor,source-candidate,Result-Urban-Outdoor.jpg,https://shop.ralawise.com/4ae239/contentassets/7602290001d4409887f57c9279c18a21/brand-banner-2023-result-urban-outdoor.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resulturbanoutdoor/
Result Work-Guard,source-candidate,Result-Work-Guard.jpg,https://shop.ralawise.com/4ae274/contentassets/ff382bda4f7a46e0bef1df7ebc4f9c9e/brand-banner-2023-result-workguard.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/resultworkguard/
Rhino,source-candidate,Rhino.jpg,https://shop.ralawise.com/4ae29f/contentassets/a3cec6dcb8b545abb582e30d52e179a8/brand-banner-2023-rhino.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/rhino/
Ribbon,source-candidate,Ribbon.jpg,https://shop.ralawise.com/4ae2f2/contentassets/79310f7f43614c3aa2263642181bc733/brand-banner-2023-ribbon.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/ribbon/
Russell Athletic,source-candidate,Russell-Athletic.jpg,https://shop.ralawise.com/4af424/contentassets/2c7248f2778e4c3e87f96005003900d6/ral30026-russell-athletic-brand-banners.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/russellathletic/
Russell Athletic Collection,rejected-wrong-asset,,https://shop.ralawise.com/4a081d/contentassets/300f9e0fde2a4efd9ec2bda715499804/exclusive-dropdown-logo-bc-collection.png?Format=jpg&Width=1920,https://shop.ralawise.com/russellathleticcollection/
Scruffs,source-candidate,Scruffs.jpg,https://shop.ralawise.com/4afa55/contentassets/dce2b00aade94da8b827c0605ce8efcc/scruffs_web.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/scruffs/
SF Clothing,missing,,,
Spiro,source-candidate,Spiro.jpg,https://shop.ralawise.com/4ae8e2/contentassets/dc7595249f854c05a826cd6e29ef60db/brand-banner-2023-spiro.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/spiro/
Spiro Recycled,missing,,,
Splashmacs,source-candidate,Splashmacs.jpg,https://shop.ralawise.com/4ae917/contentassets/728ca6acf935498fbc0620227b58bd60/brand-banner-2023-splashmacs.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/splashmacs/
Stanley / Stella,missing,,,
Stanley Workwear,source-candidate,Stanley-Workwear.jpg,https://shop.ralawise.com/4ae958/contentassets/40006fc7830345ad940b3970e6a423d7/brand-banner-2023-stanley-workwear.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/stanleyworkwear/
Stormtech,source-candidate,Stormtech.jpg,https://shop.ralawise.com/4ae57b/contentassets/b713a9b1d71a4d7e8d9d9c2c3bd983ea/brand-banner-2023-stormtech.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/stormtech/
Tee Jays,missing,,,
TheMagicTouch,source-candidate,TheMagicTouch.jpg,https://shop.ralawise.com/4a34b9/globalassets/brand-assets-2020/brands/t---z/the-magic-touch/brand-banner-the-magic-touch---new-logo-2024-1.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/themagictouch/
Tombo,source-candidate,Tombo.jpg,https://shop.ralawise.com/4ae609/contentassets/976708c6fcec40c5bfe0c7d3989f085f/brand-banner-2023-tombo.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/tombo/
Towel City,source-candidate,Towel-City.jpg,https://shop.ralawise.com/4ae68a/contentassets/d553ebb25432424fa674c88909e48b97/brand-banner-2023-towel-city.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/towelcity/
TriDri®,missing,,,
Under Armour,source-candidate,Under-Armour.jpg,https://shop.ralawise.com/48dac6/globalassets/brand-assets-2020/brands/t---z/under-armour/brand-banner-2023-under-armour.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/underarmour/
Under Armour Golf,missing,,,
Westford Mill,source-candidate,Westford-Mill.jpg,https://shop.ralawise.com/4ae6cd/contentassets/61d36dbbb66345bf90295153f8c97c0f/brand-banner-2023-westford-mill.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/westfordmill/
Wombat,source-candidate,Wombat.jpg,https://shop.ralawise.com/49f157/contentassets/59df89279f6c48c092bd2186332e73f1/brand-banner-2023-wombat.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/wombat/
Xpres,source-candidate,Xpres.jpg,https://shop.ralawise.com/4ae6f9/contentassets/3b44515750874334b501ba1200e08ad2/brand-banner-2023-xpress.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/xpres/
Yoko,source-candidate,Yoko.jpg,https://shop.ralawise.com/4ae71c/contentassets/4585f46945404201980bbd65c7fe137c/brand-banner-2023-yoko.jpg?Format=jpg&Width=1920,https://shop.ralawise.com/yoko/
